date,open,high,low,close,volume
1997-01-02,976.00,995.00,976.00,995.00,1.35M
1997-01-03,995.00,1035.00,995.00,1035.00,2.11M
1997-01-06,1035.00,1068.00,1035.00,1054.00,2.61M
1997-01-07,1054.00,1094.00,1054.00,1094.00,2.59M
1997-01-08,1094.00,1144.00,1093.00,1144.00,3.06M
1997-01-09,1144.00,1160.00,1122.00,1146.00,3.56M
1997-01-10,1146.00,1166.00,1146.00,1153.00,2.89M
1997-01-13,1153.00,1156.00,1128.00,1136.00,2.02M
1997-01-14,1136.00,1167.00,1136.00,1165.00,2.92M
1997-01-15,1172.00,1178.00,1170.00,1178.00,2.60M
1997-01-16,1178.00,1197.00,1165.00,1180.00,2.86M
1997-01-17,1180.00,1198.00,1180.00,1194.00,2.91M
1997-01-20,1194.00,1201.00,1185.00,1201.00,2.36M
1997-01-21,1201.00,1228.00,1198.00,1228.00,2.74M
1997-01-22,1228.00,1251.00,1228.00,1251.00,3.14M
1997-01-23,1251.00,1352.00,1251.00,1352.00,4.28M
1997-01-24,1352.00,1507.00,1352.00,1503.00,6.29M
1997-01-27,1503.00,1727.00,1503.00,1700.00,5.91M
1997-01-28,1700.00,1748.00,1539.00,1551.00,4.98M
1997-01-29,1551.00,1591.00,1483.00,1587.00,4.13M
1997-01-30,1587.00,1696.00,1587.00,1643.00,5.34M
1997-01-31,1643.00,1649.00,1573.00,1605.00,3.56M
1997-02-03,1605.00,1605.00,1559.00,1575.00,3.07M
1997-02-04,1575.00,1580.00,1453.00,1465.00,2.36M
1997-02-05,1465.00,1516.00,1445.00,1492.00,3.23M
1997-02-06,1492.00,1556.00,1492.00,1556.00,3.79M
1997-02-07,1556.00,1581.00,1541.00,1553.00,3.21M
1997-02-12,1553.00,1578.00,1542.00,1578.00,2.75M
1997-02-13,1578.00,1622.00,1578.00,1599.00,3.93M
1997-02-14,1599.00,1605.00,1550.00,1555.00,3.16M
1997-02-17,1555.00,1557.00,1516.00,1554.00,2.42M
1997-02-18,1554.00,1596.00,1551.00,1596.00,3.10M
1997-02-19,1596.00,1632.00,1596.00,1614.00,3.88M
1997-02-20,1614.00,1642.00,1614.00,1642.00,2.85M
1997-02-21,1642.00,1656.00,1607.00,1615.00,3.13M
1997-02-24,1615.00,1628.00,1608.00,1628.00,2.81M
1997-02-25,1628.00,1652.00,1628.00,1641.00,3.88M
1997-02-26,1641.00,1649.00,1610.00,1623.00,2.47M
1997-02-27,1623.00,1623.00,1585.00,1599.00,1.97M
1997-02-28,1599.00,1619.00,1587.00,1612.00,2.02M
1997-03-03,1612.00,1621.00,1511.00,1522.00,2.78M
1997-03-04,1522.00,1522.00,1325.00,1443.00,3.40M
1997-03-05,1443.00,1443.00,1361.00,1372.00,1.79M
1997-03-06,1372.00,1502.00,1372.00,1482.00,4.04M
1997-03-07,1482.00,1482.00,1418.00,1443.00,1.95M
1997-03-10,1443.00,1466.00,1443.00,1461.00,2.09M
1997-03-11,1461.00,1506.00,1461.00,1471.00,2.91M
1997-03-12,1471.00,1486.00,1440.00,1437.17,1.84M
1997-03-13,1437.00,1504.00,1437.00,1504.00,2.06M
1997-03-14,1504.00,1516.00,1490.00,1499.00,2.80M
1997-03-17,1499.00,1586.00,1499.00,1586.00,3.81M
1997-03-18,1586.00,1627.00,1586.00,1607.00,4.05M
1997-03-19,1607.00,1642.00,1607.00,1636.00,3.59M
1997-03-20,1636.00,1659.00,1636.00,1648.99,3.59M
1997-03-21,1649.00,1658.00,1629.00,1654.00,3.37M
1997-03-24,1654.00,1675.00,1640.00,1651.00,3.91M
1997-03-25,1651.00,1651.00,1569.00,1577.00,2.40M
1997-03-26,1577.00,1588.00,1556.00,1582.00,1.85M
1997-03-27,1582.00,1592.00,1480.00,1511.00,2.48M
1997-03-28,1511.00,1560.00,1507.00,1552.00,1.69M
1997-03-31,1552.00,1620.00,1552.00,1613.00,2.13M
1997-04-01,1613.00,1633.00,1577.00,1590.00,2.08M
1997-04-02,1590.00,1614.00,1580.00,1592.00,1.93M
1997-04-03,1592.00,1602.00,1554.00,1565.00,1.41M
1997-04-04,1565.00,1584.00,1556.00,1570.00,1.59M
1997-04-07,1570.00,1581.00,1516.00,1532.00,1.79M
1997-04-08,1532.00,1548.00,1515.00,1548.00,1.26M
1997-04-09,1548.00,1551.00,1518.00,1530.00,1.76M
1997-04-10,1530.00,1550.00,1500.00,1514.00,1.48M
1997-04-11,1514.00,1514.00,1483.00,1505.00,990.14K
1997-04-14,1505.00,1515.00,1493.00,1502.00,1.05M
1997-04-15,1502.00,1540.00,1502.00,1535.00,1.68M
1997-04-16,1535.00,1547.00,1514.00,1523.00,1.08M
1997-04-17,1523.00,1533.00,1516.00,1532.00,-
1997-04-24,1532.00,1532.00,1420.00,1457.00,1.07M
1997-04-25,1457.00,1470.00,1446.00,1466.00,990.28K
1997-04-28,1466.00,1478.00,1434.00,1441.00,969.52K
1997-04-29,1441.00,1462.00,1429.00,1435.00,1.10M
1997-04-30,1435.00,1452.00,1415.00,1427.00,985.73K
1997-05-01,1427.00,1469.00,1425.00,1469.00,1.14M
1997-05-02,1469.00,1471.00,1422.00,1431.00,1.09M
1997-05-05,1431.00,1431.00,1388.00,1392.00,1.02M
1997-05-06,1392.00,1433.00,1391.00,1433.00,1.13M
1997-05-07,1433.00,1478.00,1433.00,1478.00,1.89M
1997-05-08,1478.00,1488.00,1454.00,1459.00,1.45M
1997-05-09,1459.00,1459.00,1426.00,1443.00,907.65K
1997-05-12,1443.00,1443.00,1381.00,1395.00,862.02K
1997-05-13,1395.00,1409.00,1363.00,1408.00,1.05M
1997-05-14,1408.00,1446.00,1388.00,1437.00,2.03M
1997-05-15,1437.00,1515.00,1437.00,1515.50,2.26M
1997-05-16,1515.00,1531.00,1479.00,1492.00,1.67M
1997-05-20,1492.00,1518.00,1483.00,1510.00,1.37M
1997-05-21,1510.00,1533.00,1492.00,1509.00,1.55M
1997-05-22,1509.00,1514.00,1461.00,1471.00,1.15M
1997-05-23,1471.00,1474.00,1447.00,1467.00,839.19K
1997-05-26,1467.00,1480.00,1452.00,1470.00,993.79K
1997-05-27,1470.00,1524.00,1470.00,1523.00,1.92M
1997-05-28,1523.00,1567.00,1517.00,1565.00,2.31M
1997-05-29,1565.00,1590.00,1501.00,1529.00,2.97M
1997-05-30,1529.00,1595.00,1510.00,1595.00,2.57M
1997-06-02,1595.00,1673.00,1595.00,1655.00,2.23M
1997-06-03,1655.00,1672.00,1637.00,1659.00,1.89M
1997-06-04,1659.00,1681.00,1636.00,1649.00,1.86M
1997-06-05,1649.00,1678.00,1649.00,1675.00,3.16M
1997-06-06,1675.00,1700.00,1657.00,1669.00,2.83M
1997-06-09,1669.00,1675.00,1633.00,1647.00,1.75M
1997-06-10,1647.00,1647.00,1621.00,1644.00,1.50M
1997-06-11,1644.00,1671.00,1644.00,1660.00,2.51M
1997-06-12,1660.00,1660.00,1617.00,1627.00,2.55M
1997-06-13,1627.00,1627.00,1535.00,1583.00,1.96M
1997-06-16,1583.00,1614.00,1578.00,1582.00,1.58M
1997-06-17,1582.00,1591.00,1547.00,1551.00,1.56M
1997-06-18,1551.00,1586.00,1551.00,1565.00,1.37M
1997-06-19,1565.00,1619.00,1565.00,1601.00,1.91M
1997-06-20,1601.00,1647.00,1601.00,1642.00,3.04M
1997-06-23,1642.00,1774.00,1642.00,1774.00,4.20M
1997-06-24,1774.00,1783.00,1673.00,1684.00,2.86M
1997-06-25,1684.00,1755.00,1662.00,1672.52,1.52M
1997-06-26,1673.00,1709.00,1673.00,1705.00,1.99M
1997-06-27,1705.00,1815.00,1705.00,1815.00,4.35M
1997-06-30,1815.00,1910.00,1815.00,1857.00,4.73M
1997-07-01,1857.00,1864.00,1826.00,1851.00,2.34M
1997-07-02,1851.00,1877.00,1849.00,1873.00,2.95M
1997-07-03,1873.00,1916.00,1871.00,1912.00,3.66M
1997-07-04,1912.00,1936.00,1897.00,1918.00,3.41M
1997-07-07,1918.00,1963.00,1918.00,1953.00,3.05M
1997-07-08,1953.00,1959.00,1894.00,1911.00,2.43M
1997-07-09,1911.00,1951.00,1911.00,1951.00,3.09M
1997-07-10,1951.00,2010.00,1951.00,1999.00,4.17M
1997-07-11,1999.00,2027.00,1971.00,2027.00,3.91M
1997-07-14,2027.00,2056.00,2003.00,2043.00,4.11M
1997-07-15,2043.00,2060.00,2017.00,2036.00,3.20M
1997-07-16,2036.00,2040.00,1972.00,2009.00,3.61M
1997-07-17,2009.00,2019.00,1989.00,2006.00,3.34M
1997-07-18,2006.00,2029.00,1998.00,2010.00,3.34M
1997-07-21,2010.00,2018.00,1939.00,1955.00,2.85M
1997-07-22,1955.00,1966.00,1934.00,1953.00,2.83M
1997-07-23,1953.00,1953.00,1905.00,1919.00,2.25M
