date,microsoft
2013-12-31,56.75
2014-01-01,52.58
2014-01-02,68.43
2014-01-03,67.60
2014-01-04,58.42
2014-01-05,60.09
2014-01-06,69.27
2014-01-07,74.27
2014-01-08,76.78
2014-01-09,75.11
2014-01-10,71.77
2014-01-11,59.25
2014-01-12,61.76
2014-01-13,72.60
2014-01-14,76.78
2014-01-15,75.11
2014-01-16,75.94
2014-01-17,69.27
2014-01-18,60.92
2014-01-19,62.59
2014-01-20,72.60
2014-01-21,75.11
2014-01-22,75.11
2014-01-23,74.27
2014-01-24,70.10
2014-01-25,60.09
2014-01-26,61.76
2014-01-27,74.27
2014-01-28,74.27
2014-01-29,75.11
2014-01-30,73.44
2014-01-31,70.93
2014-02-01,60.09
2014-02-02,60.09
2014-02-03,73.44
2014-02-04,83.45
2014-02-05,82.62
2014-02-06,75.11
2014-02-07,70.93
2014-02-08,60.92
2014-02-09,60.92
2014-02-10,73.44
2014-02-11,74.27
2014-02-12,73.44
2014-02-13,72.60
2014-02-14,65.09
2014-02-15,56.75
2014-02-16,59.25
2014-02-17,70.93
2014-02-18,73.44
2014-02-19,74.27
2014-02-20,72.60
2014-02-21,69.27
2014-02-22,58.42
2014-02-23,60.09
2014-02-24,74.27
2014-02-25,74.27
2014-02-26,72.60
2014-02-27,72.60
2014-02-28,69.27
2014-03-01,60.09
2014-03-02,60.09
2014-03-03,71.77
2014-03-04,73.44
2014-03-05,73.44
2014-03-06,71.77
2014-03-07,68.43
2014-03-08,55.08
2014-03-09,59.25
2014-03-10,72.60
2014-03-11,73.44
2014-03-12,73.44
2014-03-13,71.77
2014-03-14,67.60
2014-03-15,55.91
2014-03-16,58.42
2014-03-17,70.10
2014-03-18,74.27
2014-03-19,74.27
2014-03-20,72.60
2014-03-21,66.76
2014-03-22,58.42
2014-03-23,59.25
2014-03-24,72.60
2014-03-25,76.78
2014-03-26,74.27
2014-03-27,77.61
2014-03-28,76.78
2014-03-29,62.59
2014-03-30,61.76
2014-03-31,71.77
2014-04-01,74.27
2014-04-02,77.61
2014-04-03,77.61
2014-04-04,70.10
2014-04-05,60.92
2014-04-06,60.92
2014-04-07,75.94
2014-04-08,83.45
2014-04-09,79.28
2014-04-10,75.94
2014-04-11,69.27
2014-04-12,57.58
2014-04-13,56.75
2014-04-14,69.27
2014-04-15,70.93
2014-04-16,71.77
2014-04-17,69.27
2014-04-18,61.76
2014-04-19,52.58
2014-04-20,52.58
2014-04-21,65.09
2014-04-22,71.77
2014-04-23,71.77
2014-04-24,70.10
2014-04-25,66.76
2014-04-26,54.24
2014-04-27,56.75
2014-04-28,70.93
2014-04-29,74.27
2014-04-30,71.77
2014-05-01,71.77
2014-05-02,70.10
2014-05-03,56.75
2014-05-04,53.41
2014-05-05,68.43
2014-05-06,70.10
2014-05-07,68.43
2014-05-08,66.76
2014-05-09,63.42
2014-05-10,53.41
2014-05-11,53.41
2014-05-12,65.09
2014-05-13,69.27
2014-05-14,70.10
2014-05-15,67.60
2014-05-16,62.59
2014-05-17,51.74
2014-05-18,52.58
2014-05-19,65.09
2014-05-20,73.44
2014-05-21,74.27
2014-05-22,70.93
2014-05-23,65.09
2014-05-24,51.74
2014-05-25,51.74
2014-05-26,59.25
2014-05-27,66.76
2014-05-28,67.60
2014-05-29,67.60
2014-05-30,64.26
2014-05-31,50.91
2014-06-01,52.58
2014-06-02,65.93
2014-06-03,68.43
2014-06-04,69.27
2014-06-05,68.43
2014-06-06,63.42
2014-06-07,52.58
2014-06-08,52.58
2014-06-09,72.60
2014-06-10,70.93
2014-06-11,68.43
2014-06-12,66.76
2014-06-13,59.25
2014-06-14,49.24
2014-06-15,50.07
2014-06-16,61.76
2014-06-17,65.93
2014-06-18,65.09
2014-06-19,63.42
2014-06-20,60.09
2014-06-21,49.24
2014-06-22,49.24
2014-06-23,62.59
2014-06-24,65.93
2014-06-25,64.26
2014-06-26,62.59
2014-06-27,59.25
2014-06-28,46.73
2014-06-29,50.07
2014-06-30,59.92
2014-07-01,62.38
2014-07-02,66.49
2014-07-03,63.21
2014-07-04,52.53
2014-07-05,45.15
2014-07-06,47.61
2014-07-07,60.74
2014-07-08,61.56
2014-07-09,61.56
2014-07-10,65.67
2014-07-11,60.74
2014-07-12,49.25
2014-07-13,47.61
2014-07-14,60.74
2014-07-15,64.85
2014-07-16,66.49
2014-07-17,72.23
2014-07-18,63.21
2014-07-19,50.89
2014-07-20,49.25
2014-07-21,63.21
2014-07-22,65.67
2014-07-23,67.31
2014-07-24,65.67
2014-07-25,59.10
2014-07-26,47.61
2014-07-27,47.61
2014-07-28,63.21
2014-07-29,63.21
2014-07-30,64.85
2014-07-31,62.38
2014-08-01,59.92
2014-08-02,48.43
2014-08-03,49.25
2014-08-04,64.03
2014-08-05,64.85
2014-08-06,64.85
2014-08-07,68.95
2014-08-08,61.56
2014-08-09,50.07
2014-08-10,50.07
2014-08-11,63.21
2014-08-12,68.13
2014-08-13,66.49
2014-08-14,67.31
2014-08-15,59.10
2014-08-16,52.53
2014-08-17,54.18
2014-08-18,70.59
2014-08-19,73.88
2014-08-20,71.41
2014-08-21,70.59
2014-08-22,65.67
2014-08-23,55.82
2014-08-24,57.46
2014-08-25,68.13
2014-08-26,73.06
2014-08-27,75.52
2014-08-28,73.88
2014-08-29,67.31
2014-08-30,55.00
2014-08-31,56.64
2014-09-01,65.67
2014-09-02,73.06
2014-09-03,74.70
2014-09-04,76.34
2014-09-05,69.77
2014-09-06,57.46
2014-09-07,60.74
2014-09-08,72.23
2014-09-09,76.34
2014-09-10,80.44
2014-09-11,77.16
2014-09-12,73.06
2014-09-13,59.10
2014-09-14,62.38
2014-09-15,81.26
2014-09-16,82.08
2014-09-17,78.80
2014-09-18,75.52
2014-09-19,72.23
2014-09-20,59.10
2014-09-21,59.92
2014-09-22,73.88
2014-09-23,77.16
2014-09-24,75.52
2014-09-25,75.52
2014-09-26,71.41
2014-09-27,57.46
2014-09-28,59.82
2014-09-29,72.41
2014-09-30,78.71
2014-10-01,77.14
2014-10-02,75.56
2014-10-03,67.69
2014-10-04,53.52
2014-10-05,55.10
2014-10-06,68.48
2014-10-07,72.41
2014-10-08,72.41
2014-10-09,70.05
2014-10-10,68.48
2014-10-11,54.31
2014-10-12,56.67
2014-10-13,67.69
2014-10-14,70.05
2014-10-15,71.63
2014-10-16,71.63
2014-10-17,66.90
2014-10-18,55.10
2014-10-19,59.03
2014-10-20,70.05
2014-10-21,72.41
2014-10-22,70.84
2014-10-23,70.05
2014-10-24,66.12
2014-10-25,57.46
2014-10-26,56.67
2014-10-27,70.84
2014-10-28,71.63
2014-10-29,71.63
2014-10-30,77.14
2014-10-31,69.27
2014-11-01,57.46
2014-11-02,59.82
2014-11-03,72.41
2014-11-04,73.99
2014-11-05,73.20
2014-11-06,72.41
2014-11-07,70.84
2014-11-08,58.25
2014-11-09,59.03
2014-11-10,73.20
2014-11-11,77.14
2014-11-12,78.71
2014-11-13,74.78
2014-11-14,70.84
2014-11-15,60.61
2014-11-16,62.97
2014-11-17,73.20
2014-11-18,75.56
2014-11-19,75.56
2014-11-20,73.99
2014-11-21,68.48
2014-11-22,58.25
2014-11-23,59.03
2014-11-24,70.84
2014-11-25,70.84
2014-11-26,70.84
2014-11-27,72.41
2014-11-28,70.05
2014-11-29,62.18
2014-11-30,62.18
2014-12-01,75.56
2014-12-02,77.14
2014-12-03,71.63
2014-12-04,70.84
2014-12-05,65.33
2014-12-06,58.25
2014-12-07,59.03
2014-12-08,70.05
2014-12-09,70.05
2014-12-10,72.41
2014-12-11,72.41
2014-12-12,68.48
2014-12-13,60.61
2014-12-14,60.61
2014-12-15,68.48
2014-12-16,70.05
2014-12-17,66.90
2014-12-18,68.48
2014-12-19,62.97
2014-12-20,54.31
2014-12-21,53.52
2014-12-22,61.39
2014-12-23,59.82
2014-12-24,56.67
2014-12-25,67.69
2014-12-26,65.33
2014-12-27,57.28
2014-12-28,56.38
2014-12-29,61.75
2014-12-30,62.65
2014-12-31,54.59
2015-01-01,47.43
2015-01-02,59.07
2015-01-03,54.59
2015-01-04,57.28
2015-01-05,69.81
2015-01-06,71.59
2015-01-07,68.91
2015-01-08,69.81
2015-01-09,64.44
2015-01-10,56.38
2015-01-11,56.38
2015-01-12,71.59
2015-01-13,68.02
2015-01-14,70.70
2015-01-15,69.81
2015-01-16,65.33
2015-01-17,55.49
2015-01-18,57.28
2015-01-19,66.23
2015-01-20,73.38
2015-01-21,82.33
2015-01-22,89.49
2015-01-23,77.86
2015-01-24,62.65
2015-01-25,63.54
2015-01-26,72.49
2015-01-27,80.54
2015-01-28,76.07
2015-01-29,75.17
2015-01-30,68.02
2015-01-31,59.96
2015-02-01,58.17
2015-02-02,73.38
2015-02-03,73.38
2015-02-04,71.59
2015-02-05,71.59
2015-02-06,71.59
2015-02-07,55.49
2015-02-08,57.28
2015-02-09,73.38
2015-02-10,69.81
2015-02-11,71.59
2015-02-12,74.28
2015-02-13,68.91
2015-02-14,54.59
2015-02-15,57.28
2015-02-16,68.91
2015-02-17,72.49
2015-02-18,70.70
2015-02-19,69.81
2015-02-20,66.23
2015-02-21,58.17
2015-02-22,59.07
2015-02-23,68.02
2015-02-24,73.38
2015-02-25,73.38
2015-02-26,70.70
2015-02-27,66.23
2015-02-28,56.38
2015-03-01,58.17
2015-03-02,68.91
2015-03-03,69.81
2015-03-04,71.59
2015-03-05,71.59
2015-03-06,68.02
2015-03-07,57.28
2015-03-08,55.49
2015-03-09,71.59
2015-03-10,71.59
2015-03-11,73.38
2015-03-12,70.70
2015-03-13,67.12
2015-03-14,57.28
2015-03-15,59.07
2015-03-16,67.12
2015-03-17,74.28
2015-03-18,74.28
2015-03-19,72.49
2015-03-20,67.12
2015-03-21,57.28
2015-03-22,57.28
2015-03-23,69.81
2015-03-24,69.81
2015-03-25,72.49
2015-03-26,68.91
2015-03-27,65.71
2015-03-28,55.29
2015-03-29,54.49
2015-03-30,65.71
2015-03-31,69.71
2015-04-01,70.51
2015-04-02,67.31
2015-04-03,60.10
2015-04-04,53.69
2015-04-05,50.48
2015-04-06,64.10
2015-04-07,69.71
2015-04-08,69.71
2015-04-09,66.51
2015-04-10,63.30
2015-04-11,51.28
2015-04-12,53.69
2015-04-13,66.51
2015-04-14,65.71
2015-04-15,68.91
2015-04-16,71.31
2015-04-17,64.10
2015-04-18,54.49
2015-04-19,55.29
2015-04-20,69.71
2015-04-21,68.91
2015-04-22,71.31
2015-04-23,70.51
2015-04-24,65.71
2015-04-25,54.49
2015-04-26,55.29
2015-04-27,69.71
2015-04-28,69.71
2015-04-29,75.32
2015-04-30,76.92
2015-05-01,71.31
2015-05-02,59.29
2015-05-03,57.69
2015-05-04,72.12
2015-05-05,73.72
2015-05-06,71.31
2015-05-07,68.91
2015-05-08,65.71
2015-05-09,56.09
2015-05-10,54.49
2015-05-11,68.91
2015-05-12,72.12
2015-05-13,71.31
2015-05-14,68.11
2015-05-15,66.51
2015-05-16,54.49
2015-05-17,52.88
2015-05-18,67.31
2015-05-19,70.51
2015-05-20,68.91
2015-05-21,68.11
2015-05-22,64.90
2015-05-23,51.28
2015-05-24,52.08
2015-05-25,58.49
2015-05-26,67.31
2015-05-27,68.91
2015-05-28,67.31
2015-05-29,64.90
2015-05-30,53.69
2015-05-31,54.49
2015-06-01,70.51
2015-06-02,72.12
2015-06-03,69.71
2015-06-04,69.71
2015-06-05,64.90
2015-06-06,53.69
2015-06-07,52.88
2015-06-08,67.31
2015-06-09,68.11
2015-06-10,72.92
2015-06-11,69.71
2015-06-12,63.30
2015-06-13,52.08
2015-06-14,52.88
2015-06-15,80.13
2015-06-16,75.32
2015-06-17,69.71
2015-06-18,69.71
2015-06-19,63.30
2015-06-20,53.69
2015-06-21,52.88
2015-06-22,68.11
2015-06-23,68.91
2015-06-24,66.51
2015-06-25,65.57
2015-06-26,61.82
2015-06-27,50.58
2015-06-28,51.52
2015-06-29,62.76
2015-06-30,63.70
2015-07-01,63.70
2015-07-02,60.89
2015-07-03,56.20
2015-07-04,46.84
2015-07-05,46.84
2015-07-06,61.82
2015-07-07,61.82
2015-07-08,66.51
2015-07-09,64.63
2015-07-10,58.08
2015-07-11,49.65
2015-07-12,48.71
2015-07-13,63.70
2015-07-14,64.63
2015-07-15,63.70
2015-07-16,66.51
2015-07-17,58.08
2015-07-18,51.52
2015-07-19,50.58
2015-07-20,63.70
2015-07-21,65.57
2015-07-22,67.44
2015-07-23,63.70
2015-07-24,59.95
2015-07-25,49.65
2015-07-26,52.46
2015-07-27,65.57
2015-07-28,69.32
2015-07-29,92.73
